#ZIPCODE,CITY,AREA,ROAD,CMP_LABLE,EVEN,LANE,LANE1,ALLEY,ALLEY1,NO_BGN,NO_BGN1,NO_END,NO_END1,FLOOR,FLOOR1,SCOOP,ROAD_NO,EXP,RMK
111,台北市,士林區,光華路,0,,,,0,,,0,,0,,,全,263491,,0000000000
116,台北市,文山區,光輝路,0,,,,0,,,0,,0,,,全,265771,,0000000000
112,台北市,北投區,吉利街,0,,,,0,,,0,,0,,,全,268051,,0000000000
104,台北市,中山區,吉林路,0,,,,0,,,0,,0,,,全,268501,,0000000000
100,台北市,中正區,同安街,0,,,,0,,,0,,0,,,全,270871,,0000000000
112,台北市,北投區,同德街,0,,,,0,,,0,,0,,,全,272311,,0000000000
115,台北市,南港區,同德路,0,,,,0,,,0,,0,,,全,272341,,0000000000
115,台北市,南港區,向陽路,0,,,,0,,,0,,0,,,全,273691,,0000000000
104,台北市,中山區,合江街,0,,,,0,,,0,,0,,,全,275011,,0000000000
115,台北市,南港區,合順街,J,2,2,8,0,,,0,,0,,,"雙   2巷至   8巷",275671,,0002000000
111,台北市,士林區,安平街,0,,,,0,,,0,,0,,,全,280231,,0000000000
103,台北市,大同區,安西街,0,,,,0,,,0,,0,,,全,281131,,0000000000
106,台北市,大安區,安和路１段,0,,,,0,,,0,,0,,,全,281611,,0000000000
106,台北市,大安區,安和路２段,0,,,,0,,,0,,0,,,全,281641,,0000000000
106,台北市,大安區,安居街,0,,,,0,,,0,,0,,,全,281941,,0000000000
104,台北市,中山區,安東街,6,1,,,0,,1,0,21,0,,,"單   1號至  21號",282331,,0001000000
104,台北市,中山區,安東街,7,2,,,0,,2,0,20,0,,,"雙   2號至  20號",282331,,0002000000
106,台北市,大安區,安東街,7,2,,,0,,22,0,9998,0,,,"雙  22號以上",282331,,0022000000
106,台北市,大安區,安東街,6,1,,,0,,23,0,9999,0,,,"單  23號以上",282331,,0023000000
114,台北市,內湖區,安泰街,0,,,,0,,,0,,0,,,全,283171,,0000000000
114,台北市,內湖區,安康路,0,,,,0,,,0,,0,,,全,283351,,0000000000
115,台北市,南港區,成功路１段,0,,,,0,,,0,,0,,,全,289111,,0000000000
114,台北市,內湖區,成功路２段,0,,,,0,,,0,,0,,,全,289201,,0000000000
114,台北市,內湖區,成功路３段,0,,,,0,,,0,,0,,,全,289231,,0000000000
